Tweet Text,Marker of Honesty (0 for no /1 for yes),"Fact, Opinion, or Neither (F/O/N)",Was the Filter Accurate (0 for no/1 for yes),,,Non-Text Quote Tweets (1),,,,,,,
You can’t expect somebody who don’t keep it real with themselves to keep it a 💯 with you or anybody else had to learn that the hard way 💯💯,1,O,1,,,,,,,,,,
Keep it simple as black and white and ppl will show their true colors every time 💯,1,O,1,,,,,,,,,,
Don’t act like you fuck wit me.. if you really don’t keep it that way simple 💯,1,O,1,,,,,,,,,,
💯 Why we need to kill the filibuster and why McConnell is fighting so hard to keep it. https://t.co/8dUsbHhhiu,1,O,1,,,,,,,,,,
Just be yourself and always keep it 💯,1,O,1,,,,,,,,,,
🤣 This is by far the classiest yet deep in the fillers own I think I’ve ever seen! Way to go @tedcruz 👏🏻👏🏻👏🏻 💯🇺🇸💪🏻 https://t.co/NoMPN4v6lt,0,N,0,,,,,,,,,,
I think I deserve my man stimulus check 🤪💯,1,O,1,,,,,,,,,,
British Lovers high quality.... I’m on my way 💯😊 https://t.co/zERtXG8EuK,1,O,1,,,,,,,,,,
Put some respect on this man name😤😤💯 https://t.co/N0Nv2JWaHq,0,N,0,,,,,,,,,,
Rubi Rose is so pretty to me 💯😩 I seen that video of the install from @iamslayyobae ☺️ @RubixxRose,1,O,1,,,,,,,,,,
Goddamn images speak volume dont they? 💯💯💯🤷🏿‍♂️✔💯✊🏿👍🏾 https://t.co/0NkSvXmDb8,1,O,1,,,,,,,,,,
💯 agree with this 👇 https://t.co/zo0PcGb1Bl,0,F,0,,,,,,,,,,
Love talkin to my ma.. She really my best friend 💯🤞🏾,1,O,1,,,,,,,,,,
My mouth is so fast and slick I got bants for U all night plz believe mums side of the family only speak in sarcasm so try me 💯😊,1,O,1,,,,,,,,,,
Ion know how to feel about this 😂 NLG with another W💯 https://t.co/DoGnImSr4Y,1,O,1,,,,,,,,,,
Daddy I need a rack literally next day nigga I don’t have time for you 💯,1,O,1,,,,,,,,,,
"Let me clear the air
I am 215 
6’1 😂 
I will be getting to 205 by next football season 💯",1,O,1,,,,,,,,,,
Today I seen how a mf truly felt about me &amp; I’ll never forget it 💯💪🏾,1,O,1,,,,,,,,,,
"I need my airpods to be so loud I can only hear the beat, I can make my own lyrics up bitch🤣💯 I wanna be deaf when I turn my shit off on🅿️",1,O,1,,,,,,,,,,
"My life be changing, I know some y’all be big mad 🥴🤯
YDKI💯",1,O,1,,,,,,,,,,
Adam and Eve wore nada so today's women can wear @Janore_brand 💯👏🏾👏🏾👏🏾 https://t.co/dXHzrlCQDy,1,O,1,,,,,,,,,,
Quality time 💯 https://t.co/05XeHYxDoL,0,N,0,,,,,,,,,,
I’ll never let a Mf see me sweat 😌💯,1,N,0,,,,,,,,,,
my money is on Emmanuel💯⭐👌❤#TheNextTVStar,1,F,0,,,,,,,,,,
"""The Ridge” (or @RidgeCatawba) has 3 BIGTIME💯 athletes now named on @nc_hsfb ""ATHLETE SPOTLIGHT”! With multiple offers and interests...Is there any team out there that has some athletes needing there opportunity of a spotlight 👀...DM me now!!!🏈#FridayNightsinCarolina https://t.co/tHRuY10MeS",0,N,0,,,,,,,,,,
The plans I have in play for my future is what keeps me going everyday 🤞🏽📈🤑💯,1,O,1,,,,,,,,,,
I got a feeling tonight gonna be a good night 😂💯,1,O,1,,,,,,,,,,
Be light 💡 for all to see they seeing my light in bedstuy brooklyn 🙏💯💃💃💃I’m watch mask 😷 tonight jim Carrey https://t.co/DHbQt3nxja,0,N,0,,,,,,,,,,
💯% agree pump it to Fkn 50$+ https://t.co/EkStWJHb2S,0,N,0,,,,,,,,,,
"My fathers side of the family are really involved in Ghanian politics, (according to my father at least) my grandfather was good friends with Kwame Nkrumah 😎💯",1,F,0,,,,,,,,,,
"What. A. Moment. 👌

@DJEZOfficial with a special remix from the legend that is @toddedwards3000. 👏💯

@petetong x @julesbuckley x @BeckyHill
 
#StayHomeWithDJEZ https://t.co/0pjM3qJden",0,N,0,,,,,,,,,,
"Iont like people explaining they self too me, you know what you did &amp; it’s understood 💯",1,O,1,,,,,,,,,,
Fuck that!! Am stay home tonight 💯💯,1,N,0,,,,,,,,,,
"Nice lil hangout with my daughter today,makes my day hanging out with my favorite person in this whole entire world 🙏💯💯💯💯💯",1,O,1,,,,,,,,,,
same niggas in yo corner be the ones to get you killed💯,1,O,1,,,,,,,,,,
I got fans I’m just infamous .. so they come around stalkin to steal game and send hate my real way 🎯💯💪🏾,1,O,1,,,,,,,,,,
Best time to listen to #AyraStarrEP 💯🌶🌶 mad entry with away chai 🔐 jazzy can’t go wrong sha @DONJAZZY,1,O,1,,,,,,,,,,
Being real to em will get u stepped on that real shit only for my A1 day 1’s 💯,1,O,1,,,,,,,,,,
Boys wait for other people 💯 Men go out and get it 💪🏾,1,O,1,,,,,,,,,,
"Wow! 🙌💯🎶✔‼
Watch: https://t.co/HZQTwUKZbZ
Miss @LaniMisalucha   @MyJaps @xtianbautista 
@thegoldencanedo 
Iba talaga ang mga performances sa #Studio7",0,N,0,,,,,,,,,,
"Yo gen CHINWA
Yo gen ESKÒPYON
Yo gen EKSTATERÈS
Yo gen CHAMPYOM

🗣 Di yo #Mechan_Dash gen  ""BIJOUX""😍❤😻

8066 BIJOUX🌹💯💸 https://t.co/toIxmpMcgx",0,N,0,,,,,,,,,,
When I care I feel pain. So why would I let myself care💯?,1,O,1,,,,,,,,,,
But this freshmen class tho 💯💯,0,N,0,,,,,,,,,,
"I don’t mind spoiling someone , long as I have that energy back 💯 from the start",0,O,1,,,,,,,,,,
"Been slacking too much, watch in Season 8 when I come back, gotta show these shxtters and wannabes who I am. 💪🏾💯",1,O,1,,,,,,,,,,
When I'm feeling down and tired I just play Hustle Hard and that shit make me feel a type of way 😎💯💰,1,O,1,,,,,,,,,,
DNA 3rd was fucking crazy💯💯🔥 2-1 DNA #SMACKvolume7,0,N,0,,,,,,,,,,
"THIS THAT ONE CUHZ 😂😂😂💪🏾💯 Repost from @imgonzoe
•
Today is the day.. no more excuses #WakeYaGameUp and if nobody hasn’t told you before I believing you! ✊🏾 https://t.co/or9FpgQRM8",1,O,1,,,,,,,,,,
Me acaban de regalar café de palo! 💯,1,F,0,,,,,,,,,,
I swearrrrrrrr the universe like playing with me man 💯🥺😂,1,O,1,,,,,,,,,,
"At my Best Friends place chillin by their Awesome Christmas tree. 
Good night with Fam. 🙏☝️💯 https://t.co/jVyFqslLv8",1,O,1,,,,,,,,,,
"A very good morning everyone! ♥️ Thank you so much po, @LuciaPromotes until next time lol. 🤪 Stay safe y'all. 💯 #LuciaCares https://t.co/wB3toxnMau",0,N,0,,,,,,,,,,
"I miss my house in Merced, no drama, just vibes 💯💯",1,O,1,,,,,,,,,,
"Ima start doing more shit by myself. I don’t give a damn if I have to go alone. I be waiting around for my friends, or to find friends that wanna do shìt with me, when I can just do it by my damn self or with people that wanna do whatever it is with me 💯🤷🏽‍♀️",1,O,1,,,,,,,,,,
This song right here 💯🥰 #classic90sShit https://t.co/hmyiOZsmeZ,0,N,0,,,,,,,,,,
AND THAT LADIES AND GENTLEMEN IS HOW YOU CAPITALIZE 💯 https://t.co/mRXYQBHda6,1,O,1,,,,,,,,,,
I was jamnin’ to some Beyoncé too 🙌🏾😊 that Coachella version! Whew Chile!! Gets me right every time! 💯😂,1,O,1,,,,,,,,,,
"At this time, I just hope, I'd be very fortunate to be a beneficiary.

@DONJAZZY @DONJAZZY Plz kindly  help your people🙏💯 @ayrastarr #ayrastarr 
VFD: 1000577517 https://t.co/jMTlH62aBu https://t.co/OItrhRYoPL",0,N,0,,,,,,,,,,
